福建,前90分钟两星。世界观的引入和人物的塑造都过于潦草，故事发展非常儿戏且看不到一个有力度的主题，迫不及待展现技术却暴露出各种不用心的地方：用了很多长镜头式的表现手段但深海大饭店的空间结构依旧无法清晰呈现，极尽所能创造宏大场面却用空间感扁平的长焦镜头捕捉具体的人物，动作场面因水墨背景画风与3d人物动作的不协调造成速率的失衡。没想到结尾10分钟力挽狂澜，在一个极短的瞬间内道破一切故事的根源，以气力万钧的剪辑调动起观众的情绪，用应接不暇的前后呼应收束起所有的模糊比喻，让这虚伪荒谬的宏大冒险踏实而有力度地回归于细腻的人文关怀——这一切不过是一个孩子放逐自己的乌托邦，她的心智就像影片前90分钟一样，幼稚、没有方向，但始终怀揣着五彩斑斓的希望。这般明智的视角回归，让这碗冲破黑暗、拥抱现实的心灵鸡汤足够动人
北京,中国人做动画就不能有一点自己的创意吗？剧情创意都可以抄袭宫崎骏的千与千寻，小女孩误入怪物世界，深海大饭店的光怪陆奇就是千与千寻的汤泉，海精灵就是无脸男，还参杂了大量恶俗的网络段子和没必要的慢镜头，还有吃鞋子，吐出粘液，亲痰盂等恶心恶俗的镜头。更别提完全没有宫崎骏的童心与善意，完全利用动画表达成人的视角与表达。立意与表达都完全输了，导演就不要再卖惨说电影被修改不让上映了，完全没有上映的必要。
四川,一坨五颜六色的屎
江苏,➗生玩意
上海,打分低的观众们，我想你们应该都过得很幸福，每天都生活在阳光下吧……好几次的感同身受让我无法客观的给出评价…当小女孩发自内心的快乐时，我很害怕..害怕她的这种快乐转瞬即逝…南河就是她，她就是南河，能真正解救她出来的只有南河（她自己）…最后，“散场了，该醒醒了”（这句话有调侃的成分，可在我看来，是导演，是我，对自己接下来的新生活的一种自我鼓励方式吧……）这是至今为止我看过的最好的一部国漫，必须是五星大饭店。
内蒙古,受苦难的女宝最后被丑男救赎  东亚女孩命怎么就这么惨 
江西,我第一次觉得这分是因为大家对国产动漫太宽容，狗屎，一坨狗屎。
上海,"如果可以打0星的话……吵，满格彩色，哈尔的移动城堡，千寻给河神洗澡，艾莎公主找妈妈……后半程看出来是精神病的自我世界，为赋新词强说愁！不给我退钱真的很难不生气！"
浙江,实话实说，当电影里角色说出抑郁症的时候，我情不自禁地竖出了中指。还有不是绚烂的色彩就是高级，美是内敛的，不是五彩缤纷的，你能用一次，不能每次都用，真是视觉污染。丝毫不觉得所谓粒子特效有多么神，男女主的cv让我听觉不适。从头到尾依全是依托答辩！
上海,"南河这个角色很妙，他有时候是追逐名利的俗人，有时候又是忧郁的是会讲五颜六色的故事的，他做创意菜却不被理解，他追求五星好评却永远实现不了。直到他看到女孩落海而毫不犹豫地跳了下去。或许，他只是想救一个溺水的自己。
“因为我是萨摩耶，我生来就这样啊”"
四川,看完深海给我的感觉就是，一个差生想用华丽的词汇和丰富的语言想写好一个故事。
浙江,=《千与千寻》+《少年派的奇幻漂流》+《哈尔的移动城堡》+《海洋之歌》+《泰坦尼克号》。整个就是一场濒死体验。对于抑郁的表达我非常不同意，电影完全不允许不快乐的存在，劝你要看开要相信希望，要与世界和解要与自己和解要接受现状，可这才是病态。三幕剧的格式，成长、原生家庭的主题关注儿童心理健康的呼吁是符合当代价值观的。参宿属水，以及动物与身边人的对应这都是亮点。剧情的破碎没有逻辑，以及用缤纷的视觉设计来呈现这样一场抑郁自杀后的濒死体验反倒有一种悲剧感，是电影最突出的优点
北京,球球国漫不要再追求视效了，真的已经够用了，分出点钱来找个正经编剧吧！！！！！！！
