search URL:,https://patents.google.com/?q=%28%E6%90%9C%E7%B4%A2%29&assignee=%E7%99%BE%E5%BA%A6%E5%9C%A8%E7%BA%BF%E7%BD%91%E7%BB%9C%E6%8A%80%E6%9C%AF%EF%BC%88%E5%8C%97%E4%BA%AC%EF%BC%89%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&oq=%E6%90%9C%E7%B4%A2
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-110377716-B,对话的交互方法、装置及计算机可读存储介质 ,"百度在线网络技术（北京）有限公司, 上海小度技术有限公司","许云飞, 陈果果",2019-07-23,2019-07-23,2022-07-12,2022-07-12,https://patents.google.com/patent/CN110377716B/zh,https://patentimages.storage.googleapis.com/2d/70/50/b4411b5e213908/HDA0002140431810000011.png
CN-107832434-B,基于语音交互生成多媒体播放列表的方法和装置 ,"百度在线网络技术（北京）有限公司, 上海小度技术有限公司","陆广, 刘水, 罗夏君, 叶世权, 尹相杰, 鞠强, 谢剑",2017-11-15,2017-11-15,2022-05-06,2022-05-06,https://patents.google.com/patent/CN107832434B/zh,https://patentimages.storage.googleapis.com/ff/b0/94/81ac9ea60ce819/HDA0001469260930000011.png
CN-107895578-B,语音交互方法和装置 ,"百度在线网络技术（北京）有限公司, 上海小度技术有限公司","曹玉树, 杨锐, 赵立峰, 李俊",2017-11-15,2017-11-15,2021-07-20,2021-07-20,https://patents.google.com/patent/CN107895578B/zh,https://patentimages.storage.googleapis.com/54/2e/61/73a0717c42c9ce/HDA0001468598800000011.png
CN-104537027-B,信息推荐方法及装置 ,百度在线网络技术（北京）有限公司,"王玉瑶, 张琦, 徐明泉, 秦敏, 黄绍建, 王岳, 王森, 张伟",2014-12-19,2014-12-19,2019-05-10,2019-05-10,https://patents.google.com/patent/CN104537027B/zh,
CN-105096940-B,用于进行语音识别的方法和装置 ,百度在线网络技术（北京）有限公司,"易敏文, 贾磊, 袁正沧, 吕文玉, 燕宇飞, 袁艺, 王道龙, 李华明, 刘晓伟, 刘孟, 张钰, 方驰",2015-06-30,2015-06-30,2019-03-08,2019-03-08,https://patents.google.com/patent/CN105096940B/zh,
CN-109145219-B,基于互联网文本挖掘的兴趣点有效性判断方法和装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 孙雅铭",2018-09-10,2018-09-10,2020-12-25,2020-12-25,https://patents.google.com/patent/CN109145219B/zh,https://patentimages.storage.googleapis.com/5b/f5/4b/af4bf5f529bb87/HDA0001795068710000011.png
CN-107507612-B,一种声纹识别方法及装置 ,百度在线网络技术（北京）有限公司,"王文宇, 胡媛",2017-06-30,2017-06-30,2020-08-28,2020-08-28,https://patents.google.com/patent/CN107507612B/zh,https://patentimages.storage.googleapis.com/1c/45/f6/5c0d52eae7b4c3/HDA0001338383650000011.png
CN-108694882-B,用于标注地图的方法、装置和设备 ,百度在线网络技术（北京）有限公司,"徐胜攀, 宋适宇, 徐宝强, 田海龙",2017-04-11,2017-04-11,2020-09-22,2020-09-22,https://patents.google.com/patent/CN108694882B/zh,https://patentimages.storage.googleapis.com/8a/29/e0/a1b5384b19401b/HDA0001266742020000011.png
WO-2017202016-A1,语音唤醒方法和装置 ,百度在线网络技术（北京）有限公司,袁斌,2016-05-26,2016-12-21,2017-11-30,,https://patents.google.com/patent/WO2017202016A1/zh,https://patentimages.storage.googleapis.com/72/5f/36/abf945058944ea/PCTCN2016111367-appb-300001.png
CN-108460014-B,企业实体的识别方法、装置、计算机设备及存储介质 ,百度在线网络技术（北京）有限公司,"宋烈金, 崔燕, 岳爱珍, 李维之, 张琳琳",2018-02-07,2018-02-07,2022-02-25,2022-02-25,https://patents.google.com/patent/CN108460014B/zh,https://patentimages.storage.googleapis.com/32/39/02/be4ef1f3e83801/HDA0001572293370000011.png
CN-108241667-B,用于推送信息的方法和装置 ,百度在线网络技术（北京）有限公司,"韦添, 戴文恺, 孙凯",2016-12-26,2016-12-26,2019-10-15,2019-10-15,https://patents.google.com/patent/CN108241667B/zh,https://patentimages.storage.googleapis.com/33/a9/0a/6b16ecad05fb5b/HDA0001191964590000011.png
CN-109271914-B,检测视线落点的方法、装置、存储介质和终端设备 ,百度在线网络技术（北京）有限公司,"赵彤彤, 燕飞龙, 王亮, 马彧",2018-09-07,2018-09-07,2020-04-17,2020-04-17,https://patents.google.com/patent/CN109271914B/zh,https://patentimages.storage.googleapis.com/68/b9/e7/2d5847e5bcf3a5/HDA0001792959780000011.png
CN-106875066-B,用车出行行为的预测方法、装置、服务器以及存储介质 ,百度在线网络技术（北京）有限公司,刘坤,2017-02-28,2017-02-28,2021-06-11,2021-06-11,https://patents.google.com/patent/CN106875066B/zh,https://patentimages.storage.googleapis.com/ae/8d/f8/926e731b56090e/HDA0001234925460000011.png
CN-107071542-B,视频片段播放方法及装置 ,百度在线网络技术（北京）有限公司,"王飞, 李静, 程高飞, 侯在鹏, 董文林",2017-04-18,2017-04-18,2020-07-28,2020-07-28,https://patents.google.com/patent/CN107071542B/zh,https://patentimages.storage.googleapis.com/da/40/f0/e933c4cf6d6147/HDA0001272970320000011.png
CN-108921947-B,生成电子地图的方法、装置、设备、存储介质以及采集实体 ,百度在线网络技术（北京）有限公司,"余丽, 宋适宇",2018-07-23,2018-07-23,2022-06-21,2022-06-21,https://patents.google.com/patent/CN108921947B/zh,https://patentimages.storage.googleapis.com/01/46/12/2e559a98b53978/HDA0001739259590000011.png
CN-108732603-B,用于定位车辆的方法和装置 ,百度在线网络技术（北京）有限公司,"蔡仁澜, 杨晓龙, 万国伟, 卢维欣, 宋适宇, 徐宝强",2017-04-17,2017-04-17,2020-07-10,2020-07-10,https://patents.google.com/patent/CN108732603B/zh,https://patentimages.storage.googleapis.com/34/86/3f/36bbbf1abcecb7/HDA0002501668540000011.png
CN-108062375-B,一种用户画像的处理方法、装置、终端和存储介质 ,百度在线网络技术（北京）有限公司,"刘沪生, 王佳",2017-12-12,2017-12-12,2021-12-10,2021-12-10,https://patents.google.com/patent/CN108062375B/zh,https://patentimages.storage.googleapis.com/b6/84/94/16b4fb2c4401f8/HDA0001504626910000011.png
CN-106710589-B,基于人工智能的语音特征提取方法及装置 ,百度在线网络技术（北京）有限公司,"李超, 李先刚",2016-12-28,2016-12-28,2019-07-30,2019-07-30,https://patents.google.com/patent/CN106710589B/zh,
CN-107545241-B,神经网络模型训练及活体检测方法、装置及存储介质 ,百度在线网络技术（北京）有限公司,洪智滨,2017-07-19,2017-07-19,2022-05-27,2022-05-27,https://patents.google.com/patent/CN107545241B/zh,https://patentimages.storage.googleapis.com/3d/c4/af/938706bc81463e/HDA0001354330430000011.png
CN-110737758-B,用于生成模型的方法和装置 ,百度在线网络技术（北京）有限公司,"孙明明, 李旭, 李平",2018-07-03,2018-07-03,2022-07-05,2022-07-05,https://patents.google.com/patent/CN110737758B/zh,https://patentimages.storage.googleapis.com/ce/7d/47/85a6039055cf82/HDA0001718394270000011.png
CN-106027614-B,信息推送的方法、装置和系统 ,百度在线网络技术（北京）有限公司,刘海涛,2016-05-09,2016-05-09,2020-06-30,2020-06-30,https://patents.google.com/patent/CN106027614B/zh,https://patentimages.storage.googleapis.com/52/81/38/a23467dd8a9695/HDA0000985145000000011.png
CN-107679211-B,用于推送信息的方法和装置 ,百度在线网络技术（北京）有限公司,"程军, 桂佳",2017-10-17,2017-10-17,2021-12-28,2021-12-28,https://patents.google.com/patent/CN107679211B/zh,https://patentimages.storage.googleapis.com/1d/cb/2e/c29d9bae14a426/HDA0001436495430000011.png
CN-105912500-B,机器学习模型生成方法和装置 ,百度在线网络技术（北京）有限公司,"詹志征, 刘志强, 沈志勇",2016-03-30,2016-03-30,2017-11-14,2017-11-14,https://patents.google.com/patent/CN105912500B/zh,
CN-107832414-B,用于推送信息的方法和装置 ,百度在线网络技术（北京）有限公司,"尹存祥, 沈剑平, 徐国强, 钟辉强, 骆彬",2017-11-07,2017-11-07,2021-10-22,2021-10-22,https://patents.google.com/patent/CN107832414B/zh,https://patentimages.storage.googleapis.com/38/50/9a/6a2600a22cc52a/HDA0001459674980000011.png
CN-107203894-B,信息推送方法和装置 ,百度在线网络技术（北京）有限公司,"赵亮, 李博, 吕梦楼",2016-03-18,2016-03-18,2021-01-01,2021-01-01,https://patents.google.com/patent/CN107203894B/zh,https://patentimages.storage.googleapis.com/07/fe/74/a3b63ea6dc0fb3/HDA0000945125890000011.png
CN-106874248-B,基于人工智能的文章生成方法和装置 ,百度在线网络技术（北京）有限公司,袁洁,2017-01-22,2017-01-22,2020-11-24,2020-11-24,https://patents.google.com/patent/CN106874248B/zh,https://patentimages.storage.googleapis.com/98/36/43/1443859bd3ed91/HDA0001216826440000011.png
WO-2017113645-A1,信息提取方法和装置 ,百度在线网络技术（北京）有限公司,"秦首科, 韩友, 陈志扬, 马飞超, 徐培治",2015-12-30,2016-06-17,2017-07-06,,https://patents.google.com/patent/WO2017113645A1/zh,https://patentimages.storage.googleapis.com/02/7b/26/bcc695cec07957/PCTCN2016086213-appb-300001.png
CN-107402954-B,建立排序模型的方法、基于该模型的应用方法和装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 张伟, 赵世奇, 丁世强, 王海峰",2017-05-26,2017-05-26,2020-07-10,2020-07-10,https://patents.google.com/patent/CN107402954B/zh,https://patentimages.storage.googleapis.com/5d/bb/c2/335ee0b6a19f34/HDA0001413316290000011.png
CN-110287779-B,车道线的检测方法、装置及设备 ,百度在线网络技术（北京）有限公司,潘杰,2019-05-17,2019-05-17,2021-10-15,2021-10-15,https://patents.google.com/patent/CN110287779B/zh,https://patentimages.storage.googleapis.com/9b/94/d7/f4a2d1db5a0590/HDA0002062603100000011.png
CN-109902248-B,页面显示方法、装置、计算机设备和可读存储介质 ,百度在线网络技术（北京）有限公司,"刘俊启, 沈航",2019-02-25,2019-02-25,2021-07-13,2021-07-13,https://patents.google.com/patent/CN109902248B/zh,https://patentimages.storage.googleapis.com/43/ae/96/1e593cee1e423b/HDA0001977856030000011.png
CN-105068661-B,基于人工智能的人机交互方法和系统 ,百度在线网络技术（北京）有限公司,"王海峰, 吴华, �田�浩, 赵世奇, 孙雯玉, 吴甜, 忻舟, 马艳军, 吕雅娟",2015-09-07,2015-09-07,2018-09-07,2018-09-07,https://patents.google.com/patent/CN105068661B/zh,
CN-105159996-B,基于人工智能的深度问答服务提供方法和装置 ,百度在线网络技术（北京）有限公司,"马艳军, 吕雅娟, 吴华, 肖欣延, 张伟萌, 李兴建",2015-09-07,2015-09-07,2018-09-07,2018-09-07,https://patents.google.com/patent/CN105159996B/zh,
CN-105811513-B,无人驾驶的用电汽车、充电桩及用于其中的充电方法 ,百度在线网络技术（北京）有限公司,郭晓艳,2016-04-28,2016-04-28,2019-01-11,2019-01-11,https://patents.google.com/patent/CN105811513B/zh,
CN-105426436-B,基于人工智能机器人的信息提供方法和装置 ,百度在线网络技术（北京）有限公司,"景鲲, 王海峰, 孙雯玉, 徐冉, 王婧雅, 沈健, 葛行飞, 远超, 忻舟",2015-11-05,2015-11-05,2019-10-15,2019-10-15,https://patents.google.com/patent/CN105426436B/zh,https://patentimages.storage.googleapis.com/12/d8/86/7e244198bfe683/HDA0000839996940000011.png
CN-106021363-B,课程推荐方法和装置 ,百度在线网络技术（北京）有限公司,辛强,2016-05-10,2016-05-10,2019-12-17,2019-12-17,https://patents.google.com/patent/CN106021363B/zh,
CN-107172151-B,用于推送信息的方法和装置 ,百度在线网络技术（北京）有限公司,"史须勇, 韩聪, 贺登武, 王鲁光, 王修飞, 梁任鹏, 杨家俊, 刘国庆, 杨承, 江志敏",2017-05-18,2017-05-18,2020-08-07,2020-08-07,https://patents.google.com/patent/CN107172151B/zh,https://patentimages.storage.googleapis.com/47/fa/91/6fbc717c95f9d2/HDA0001297981790000011.png
CN-106886375-B,存储数据的方法和装置 ,百度在线网络技术（北京）有限公司,"覃安, 陈佳捷",2017-03-27,2017-03-27,2019-11-05,2019-11-05,https://patents.google.com/patent/CN106886375B/zh,
CN-108133619-B,停车场停车预测的方法、装置、存储介质及终端设备 ,百度在线网络技术（北京）有限公司,"荣岳成, 徐之冕, 闫瑞波, 马旭, 史文丽",2018-02-06,2018-02-06,2020-05-29,2020-05-29,https://patents.google.com/patent/CN108133619B/zh,https://patentimages.storage.googleapis.com/b5/87/f7/9a0e15ed479eaf/HDA0001571687570000011.png
CN-105975558-B,建立语句编辑模型的方法、语句自动编辑方法及对应装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 赵世奇, 王海峰",2016-04-29,2016-04-29,2018-08-10,2018-08-10,https://patents.google.com/patent/CN105975558B/zh,
CN-102360358-B,关键词推荐方法及系统 ,百度在线网络技术（北京）有限公司,"傅强, 江申",2011-09-28,2011-09-28,2016-08-17,2016-08-17,https://patents.google.com/patent/CN102360358B/zh,
CN-105095433-B,实体推荐方法及装置 ,百度在线网络技术（北京）有限公司,"戴祥鹰, 陈晓昕, 蔡勋梁, 李�浩",2015-07-22,2015-07-22,2019-07-05,2019-07-05,https://patents.google.com/patent/CN105095433B/zh,
CN-104731917-B,一种推荐方法及装置 ,百度在线网络技术（北京）有限公司,邢皖甲,2015-03-25,2015-03-25,2018-06-08,2018-06-08,https://patents.google.com/patent/CN104731917B/zh,
CN-103164454-B,关键词分组方法及系统 ,百度在线网络技术（北京）有限公司,"葛幼姿, 于惊涛, 广宇昊",2011-12-15,2011-12-15,2016-03-23,2016-03-23,https://patents.google.com/patent/CN103164454B/zh,
CN-107590255-B,信息推送方法和装置 ,百度在线网络技术（北京）有限公司,"王山雨, 罗翔, 刘晓春, 韩友, 陈震, 李小康, 柳胜兵, 江焱, 刘斌新, 秦首科",2017-09-19,2017-09-19,2021-05-25,2021-05-25,https://patents.google.com/patent/CN107590255B/zh,https://patentimages.storage.googleapis.com/10/15/2d/eba21759aa3d33/HDA0001412334810000011.png
CN-105279224-B,信息推送方法及装置 ,百度在线网络技术（北京）有限公司,"刘俊启, 黎科峰",2015-09-09,2015-09-09,2019-01-15,2019-01-15,https://patents.google.com/patent/CN105279224B/zh,
CN-108280155-B,基于短视频的问题检索反馈方法、装置及其设备 ,百度在线网络技术（北京）有限公司,"黄际洲, 夏德国, 林馨怡",2018-01-11,2018-01-11,2022-04-08,2022-04-08,https://patents.google.com/patent/CN108280155B/zh,https://patentimages.storage.googleapis.com/4d/2f/c0/fdc61f683cf686/HDA0001545355590000011.png
CN-105043400-B,路径规划方法及装置 ,百度在线网络技术（北京）有限公司,汪洋,2015-06-30,2015-06-30,2019-01-08,2019-01-08,https://patents.google.com/patent/CN105043400B/zh,
CN-107423363-B,基于人工智能的话术生成方法、装置、设备及存储介质 ,百度在线网络技术（北京）有限公司,何荞至,2017-06-22,2017-06-22,2021-02-19,2021-02-19,https://patents.google.com/patent/CN107423363B/zh,https://patentimages.storage.googleapis.com/2f/a3/9d/67542e19d15c0f/HDA0001329174890000011.png
CN-105100360-B,用于语音通话的通话辅助方法和装置 ,百度在线网络技术（北京）有限公司,刘联东,2015-08-26,2015-08-26,2019-05-03,2019-05-03,https://patents.google.com/patent/CN105100360B/zh,
CN-105159977-B,信息交互处理方法及装置 ,百度在线网络技术（北京）有限公司,"景鲲, 王海峰, 孙雯玉, 忻舟, �田�浩, 徐冉, 李大任, 曾永安, 张文斌, 张�杰, 袁晗光",2015-08-27,2015-08-27,2019-01-25,2019-01-25,https://patents.google.com/patent/CN105159977B/zh,
CN-104462363-B,评论点的展现方法和装置 ,百度在线网络技术（北京）有限公司,"魏安军, 李大任, 卿权, 余艳",2014-12-08,2014-12-08,2018-10-23,2018-10-23,https://patents.google.com/patent/CN104462363B/zh,
CN-103914550-B,展现推荐内容的方法和装置 ,百度在线网络技术（北京）有限公司,"陈炜于, 刘四维, 欧阳显雅, 柳金杜",2014-04-11,2014-04-11,2017-08-18,2017-08-18,https://patents.google.com/patent/CN103914550B/zh,
CN-106218427-B,无人车的充电方法及装置 ,百度在线网络技术（北京）有限公司,张乙凡,2016-07-28,2016-07-28,2018-11-20,2018-11-20,https://patents.google.com/patent/CN106218427B/zh,
CN-108733779-B,文本配图的方法和装置 ,百度在线网络技术（北京）有限公司,"吴广发, 施鹏",2018-05-04,2018-05-04,2022-10-04,2022-10-04,https://patents.google.com/patent/CN108733779B/zh,https://patentimages.storage.googleapis.com/41/d7/e9/d153c77163fe35/HDA0001650936990000011.png
CN-107273280-B,一种日志处理方法、装置、电子设备和存储介质 ,百度在线网络技术（北京）有限公司,"胡伟韬, 罗序斌",2017-06-30,2017-06-30,2021-02-09,2021-02-09,https://patents.google.com/patent/CN107273280B/zh,https://patentimages.storage.googleapis.com/58/24/08/263cff073fbcb8/HDA0001338425320000011.png
CN-105183422-B,语音控制应用程序的方法和装置 ,百度在线网络技术（北京）有限公司,郭小华,2015-08-31,2015-08-31,2018-06-05,2018-06-05,https://patents.google.com/patent/CN105183422B/zh,
CN-105630876-B,跨应用的信息获取方法和装置 ,百度在线网络技术（北京）有限公司,"杨蓝麒, 邹晓园, 张禹, 丰子灏",2015-12-17,2015-12-17,2019-10-22,2019-10-22,https://patents.google.com/patent/CN105630876B/zh,
CN-104965920-B,用于确定目标地址的方法和装置 ,百度在线网络技术（北京）有限公司,"王帅, 刘燕云, 王玉川",2015-07-08,2015-07-08,2018-09-28,2018-09-28,https://patents.google.com/patent/CN104965920B/zh,
CN-107300970-B,虚拟现实交互方法和装置 ,百度在线网络技术（北京）有限公司,"李良龙, 蔡晗, 简川力, 王琳琳, 竹枭东",2017-06-05,2017-06-05,2020-12-11,2020-12-11,https://patents.google.com/patent/CN107300970B/zh,https://patentimages.storage.googleapis.com/32/2e/51/ee88c67ff9ccd3/HDA0001312534700000011.png
CN-105930841-B,对图像进行自动语义标注的方法、装置与计算机设备 ,百度在线网络技术（北京）有限公司,"刘霄, 王江, 文石磊, 丁二锐",2016-05-13,2016-05-13,2018-01-26,2018-01-26,https://patents.google.com/patent/CN105930841B/zh,
CN-106982256-B,信息推送方法、装置、设备及存储介质 ,百度在线网络技术（北京）有限公司,"李惠, 王方舟, 李欢",2017-03-31,2017-03-31,2020-07-28,2020-07-28,https://patents.google.com/patent/CN106982256B/zh,https://patentimages.storage.googleapis.com/0f/81/4c/5ab554ad238a01/HDA0001260040760000011.png
CN-103399883-B,根据用户兴趣点/关注点进行个性化推荐的方法和系统 ,百度在线网络技术（北京）有限公司,"徐倩, 向伟, 陈明星, 詹金波, 黄硕",2013-07-19,2013-07-19,2017-02-08,2017-02-08,https://patents.google.com/patent/CN103399883B/zh,
CN-107679183-B,分类器用训练数据获取方法和装置、服务器及存储介质 ,百度在线网络技术（北京）有限公司,"李肃, 付立波",2017-09-29,2017-09-29,2020-11-06,2020-11-06,https://patents.google.com/patent/CN107679183B/zh,https://patentimages.storage.googleapis.com/8d/1a/f3/fde0d7706f71ed/HDA0001425198530000011.png
CN-103455590-B,在触屏设备中进行检索的方法和装置 ,百度在线网络技术（北京）有限公司,"肖胜鹏, 覃健",2013-08-29,2013-08-29,2017-05-31,2017-05-31,https://patents.google.com/patent/CN103455590B/zh,
CN-104636465-B,网页摘要生成方法、展示方法及相应装置 ,百度在线网络技术（北京）有限公司,"何伯磊, 张伟萌, 霍华荣, 张希娟, 马艳军",2015-02-10,2015-02-10,2018-11-16,2018-11-16,https://patents.google.com/patent/CN104636465B/zh,
CN-106792242-B,用于推送信息的方法和装置 ,百度在线网络技术（北京）有限公司,刘业鲁,2017-02-22,2017-02-22,2020-10-09,2020-10-09,https://patents.google.com/patent/CN106792242B/zh,https://patentimages.storage.googleapis.com/ef/d3/91/cc33d9078964e7/HDA0001230554120000011.png
CN-105575386-B,语音识别方法和装置 ,百度在线网络技术（北京）有限公司,"潘复平, 钱胜, 贺利强, 黄辰",2015-12-18,2015-12-18,2019-07-30,2019-07-30,https://patents.google.com/patent/CN105575386B/zh,
CN-104535071-B,一种语音导航方法及装置 ,百度在线网络技术（北京）有限公司,谢波,2014-12-05,2014-12-05,2018-12-14,2018-12-14,https://patents.google.com/patent/CN104535071B/zh,
CN-103617075-B,应用程序推荐方法、系统和服务器 ,百度在线网络技术（北京）有限公司,刘俊启,2013-12-04,2013-12-04,2017-02-01,2017-02-01,https://patents.google.com/patent/CN103617075B/zh,
CN-103645876-B,语音输入方法和装置 ,百度在线网络技术（北京）有限公司,"时迎超, 张海雷, 白龙飞",2013-12-06,2013-12-06,2017-01-18,2017-01-18,https://patents.google.com/patent/CN103645876B/zh,
